Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response,totalSeasons,Error
The 10th Kingdom,2000,Not Rated,27 Feb 2000,417 min,"Adventure, Comedy, Family",N/A,N/A,"Kimberly Williams-Paisley, Scott Cohen, Dianne Wiest","A father and daughter are caught in a parallel universe where the great Queens Snow White, Cinderella and Riding Hood III have had their kingdoms fragmented by warring trolls, giants and goblins.",English,"United Kingdom, Germany, United States",Won 1 Primetime Emmy. 5 wins & 5 nominations total,https://m.media-amazon.com/images/M/MV5BYmE5YmM1ODItODBmYy00Y2QwLTg3ZTYtMzJmMjM3ZDFmMzgzXkEyXkFqcGdeQXVyMTUyNjc3NDQ4._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.3/10'}]",N/A,8.3,"20,524",tt0207275,series,,,,,True,1,
An Extremely Goofy Movie,2000,G,29 Feb 2000,79 min,"Animation, Comedy, Family, Sport",Douglas McCarthy,"Scott Spencer Gorden (screenplay by), Hillary Carlip (additional screenplay material by)","Bill Farmer, Jason Marsden, Jeff Bennett, Jim Cummings","Max goes to college, but to his embarassment his father loses his job and goes to his son's campus.",English,"USA, Australia",2 wins & 1 nomination.,https://m.media-amazon.com/images/M/MV5BNTJkNmQ1ODItNTJhOS00NWRhLTg0NjAtYjZlNWYxZWJmNTY4XkEyXkFqcGdeQXVyOTg4MDk3MTQ@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '63%'}]",N/A,6.4,"10,662",tt0208185,movie,N/A,N/A,N/A,N/A,True,,
The Tracker,2002,Not Rated,08 Aug 2002,90 min,"Drama, Western",Rolf de Heer,Rolf de Heer,"David Gulpilil, Gary Sweet, Damon Gameau","Fanatic is a government trooper who is heading an expedition to find an Aboriginal man accused of murdering a white woman. Others in the expedition are the Follower, a greenhorn trooper, the Veteran, and the Tracker.","English, Aboriginal",Australia,16 wins & 16 nominations,https://m.media-amazon.com/images/M/MV5BMjMyYTQ1OWQtYWVkNy00M2NhLWJiZjctZDFhYzU2NzM3ZTc2XkEyXkFqcGdeQXVyMTMxMTY0OTQ@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '88%'}, {'Source': 'Metacritic', 'Value': '71/100'}]",71,7.3,"3,336",tt0212132,movie,N/A,"$55,188",N/A,N/A,True,,
Bruiser,2000,R,13 Feb 2000,99 min,"Horror, Mystery",George A. Romero,George A. Romero,"Jason Flemyng, Peter Stormare, Leslie Hope","After years of being tread upon and cheated on, a man awakens to find his face has a been replaced by a blank, white mask.","English, Spanish","France, Canada",1 nomination,https://m.media-amazon.com/images/M/MV5BYjJkZjQ2ODAtMmIxNi00YWVhLTk4YzYtMGY5OGFjMTI2M2Q4XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '67%'}]",N/A,5.3,"6,526",tt0212830,movie,N/A,N/A,N/A,N/A,True,,
Taboo,2017,TV-MA,10 Jan 2017,59 min,"Drama, Mystery, Thriller",N/A,"Chips Hardy, Tom Hardy, Steven Knight","Tom Hardy, David Hayman, Jonathan Pryce","Adventurer James Keziah Delaney returns to London during the War of 1812 to rebuild his late father's shipping empire. However, both the government and his biggest competitor want his inheritance at any cost--even murder.",English,United Kingdom,Nominated for 2 Primetime Emmys. 9 wins & 19 nominations total,https://m.media-amazon.com/images/M/MV5BMTYyNTQwNzk0OV5BMl5BanBnXkFtZTgwMDAyMDI2MDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.3/10'}]",N/A,8.3,"151,421",tt3647998,series,,,,,True,2,
Crane World,1999,PG-13,17 Jun 1999,90 min,"Comedy, Drama",Pablo Trapero,Pablo Trapero,"Luis Margani, Daniel Valenzuela, Adriana Aizemberg",The portrait of a man and his attempts to make things up with life after losing his job.,Spanish,Argentina,19 wins & 7 nominations,https://m.media-amazon.com/images/M/MV5BMTYyOTkyMDk4NV5BMl5BanBnXkFtZTcwMDMyMjcyMQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}, {'Source': 'Metacritic', 'Value': '78/100'}]",78,7.0,"1,199",tt0213905,movie,N/A,N/A,N/A,N/A,True,,
Cremaster 2,1999,Unrated,06 Jul 2005,79 min,Drama,Matthew Barney,Matthew Barney,"Norman Mailer, Matthew Barney, Anonymous","A Gothic Western loosely based on Gary Gilmore's life, executed for murder in Utah. His life is represented through fantastic sequences, like a séance to show his birth and a prison rodeo staged in a salt arena to symbolise his ex...",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BODVlNDBjY2QtMGYzMS00YzMwLWJjYzgtNGRlMzdiZTUwZTU0XkEyXkFqcGdeQXVyMjM3ODA2NDQ@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '73%'}]",N/A,6.5,982,tt0214605,movie,N/A,N/A,N/A,N/A,True,,
The Wog Boy,2000,N/A,24 Feb 2000,92 min,Comedy,Aleksi Vellis,"Chris Anastassiades, Nick Giannopoulos","Nick Giannopoulos, Lucy Bell, Vince Colosimo","When a 'dole bludging' Greek gains national fame following a television appearance, he's recruited by a political party as the face of their campaign to improve the country's unemployment rate.","English, Greek",Australia,2 wins & 2 nominations,https://m.media-amazon.com/images/M/MV5BOTkwYTBmY2MtNjZjMS00NTk5LTk5NWEtZDM1Mjk0NjI4ODdlXkEyXkFqcGdeQXVyNTE1NjY5Mg@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.8/10'}]",N/A,5.8,"2,282",tt0216417,movie,N/A,N/A,N/A,N/A,True,,
Chasing Sleep,2000,R,16 May 2001,104 min,"Drama, Horror, Mystery",Michael Walker,Michael Walker,"Jeff Daniels, Molly Price, Ben Shenkman","A college professor wakes up to find his wife has not returned home, then struggles to understand her disappearance.",English,"Canada, United States, France",2 wins & 2 nominations,https://m.media-amazon.com/images/M/MV5BNTgwZjNmMzYtMTg1OS00ZWVmLWI2MjEtMDczNTYyYjBmNjczXkEyXkFqcGdeQXVyNjU0NTI0Nw@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '50%'}]",N/A,6.2,"3,666",tt0221069,movie,N/A,N/A,N/A,N/A,True,,
The Stepdaughter,2000,R,31 Oct 2000,92 min,"Horror, Thriller",Peter Liapis,"Suzanne Dolan (story), Cyndi Pass (story), Suzanne Dolan (screenplay), Richard Dana Smith (screenplay)","Andrea Roth, Lisa Dean Ryan, Jaimz Woolvett, Cindy Pickett","Growing up, Susan Miller survived countless foster homes and years of abuse and neglect with one, burning goal: to someday find the birth mother who abandoned her - and get revenge.",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BMTI4MzUzNjc0NF5BMl5BanBnXkFtZTcwMjE4MTU1MQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.2/10'}]",N/A,4.2,481,tt0221581,movie,N/A,N/A,N/A,N/A,True,,
Possible Worlds,2000,N/A,13 Jul 2001,93 min,"Mystery, Sci-Fi, Crime",Robert Lepage,"John Mighton, Robert Lepage, Daniel Brooks","Tilda Swinton, Tom McCamus, Sean McCann","A man lives in parallel worlds, falling in love with the same woman, while the police hunt down a serial killer who steals brains.",English,Canada,3 wins & 7 nominations,https://m.media-amazon.com/images/M/MV5BMTkzNTIwNDYyN15BMl5BanBnXkFtZTcwNjU0OTAyMQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '60%'}]",N/A,6.7,"2,174",tt0222293,movie,N/A,N/A,N/A,N/A,True,,
Bartleby,2001,PG-13,10 Mar 2001,83 min,"Comedy, Drama, Mystery",Jonathan Parker,"Herman Melville, Jonathan Parker, Catherine DiNapoli","David Paymer, Crispin Glover, Glenne Headly",A clueless boss has no idea what to do with his mundane office worker whose refusal of duties only gets worse each passing minute.,English,United States,1 nomination,https://m.media-amazon.com/images/M/MV5BMTMwMDk5ODA1MV5BMl5BanBnXkFtZTYwNzY1OTU3._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '36%'}, {'Source': 'Metacritic', 'Value': '48/100'}]",48,6.4,"2,160",tt0230025,movie,N/A,"$148,479",N/A,N/A,True,,
,,,,,,,,,,,,,,,,,,,,,,,,False,,Movie not found!
Shiner,2000,R,14 Sep 2001,99 min,"Crime, Drama, Thriller",John Irvin,Scott Cherry,"Michael Caine, Martin Landau, Frances Barber",The past catches up with a ruthlessly ambitious boxing promoter.,English,United Kingdom,N/A,https://m.media-amazon.com/images/M/MV5BNzhlNjA2Y2EtZGY5NC00MTA3LWI0M2YtZDIyNDA2YzY3ZWY2XkEyXkFqcGdeQXVyOTY0NzE2NTU@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '46%'}]",N/A,5.9,"2,160",tt0232632,movie,N/A,N/A,N/A,N/A,True,,
Batman Beyond: Return of the Joker,2000,PG-13,12 Dec 2000,76 min,"Animation, Action, Crime, Sci-Fi, Thriller",Curt Geda,"Bob Kane (character created by: Batman), Paul Dini (story by), Glen Murakami (story by), Bruce Timm (story by), Paul Dini (screenplay by)","Will Friedle, Kevin Conroy, Mark Hamill, Angie Harmon","The Joker is back with a vengeance, and Gotham's newest Dark Knight needs answers as he stands alone to face Gotham's most infamous Clown Prince of Crime.",English,USA,3 wins & 5 nominations.,https://m.media-amazon.com/images/M/MV5BNmRmODEwNzctYzU1MS00ZDQ1LWI2NWMtZWFkNTQwNDg1ZDFiXkEyXkFqcGdeQXVyNTI4MjkwNjA@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}]",N/A,7.8,"24,592",tt0233298,movie,N/A,N/A,N/A,N/A,True,,
The Nine Lives of Tomas Katz,2000,N/A,11 Jan 2001,87 min,"Comedy, Drama, Fantasy",Ben Hopkins,"Thomas Browne, Rob Cheek, Ben Hopkins","Tom Fisher, Ian McNeice, Tony Maudsley","A man comes to London, uses a strange force to take over different men's identities, and creates chaos.","English, French, Latin, Hebrew, Polish","United Kingdom, Germany",3 wins & 2 nominations,https://m.media-amazon.com/images/M/MV5BMmVkYTZjNTYtYzRhYy00NWUyLWI2MTQtMGIxNDg4MWI2MjVhXkEyXkFqcGdeQXVyNDUxNjc5NjY@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}]",N/A,6.9,"1,191",tt0235618,movie,N/A,N/A,N/A,N/A,True,,
For Love or Country: The Arturo Sandoval Story,2000,PG-13,18 Nov 2000,120 min,"Biography, Drama, Music",Joseph Sargent,Timothy J. Sexton,"Andy Garcia, Mía Maestro, Gloria Estefan",Story of the world-renowned trumpet player.,"English, Spanish",United States,Won 1 Primetime Emmy. 4 wins & 18 nominations total,https://m.media-amazon.com/images/M/MV5BODFkYmZmMDYtZjU5Zi00NmE0LTgxMzctMTFjNzQwOTYwMGQ2XkEyXkFqcGdeQXVyMTY5Nzc4MDY@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}]",N/A,7.1,"1,225",tt0236285,movie,N/A,N/A,N/A,N/A,True,,
Mimic 2,2001,R,17 Jul 2001,82 min,"Horror, Thriller, Sci-Fi",Jean de Segonzac,"Donald A. Wollheim (short story ""Mimic""), Joel Soisson","Alix Koromzay, Bruno Campos, Will Estes, Gaven E. Lucas","A human mimicking giant bug survived Mimic (1997) and is killing humans and stalking a woman, who's bug/biology school teacher in NYC.",English,USA,1 win & 2 nominations.,https://m.media-amazon.com/images/M/MV5BODMzNzdmMDYtNGNmYy00YWEzLWFhMzYtN2JjOGNhZTBlODQ3XkEyXkFqcGdeQXVyMTY5Nzc4MDY@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '8%'}]",N/A,4.6,"5,144",tt0239641,movie,N/A,N/A,N/A,N/A,True,,
Paradise Lost 2: Revelations,2000,Unrated,12 Mar 2001,130 min,"Documentary, Crime","Joe Berlinger, Bruce Sinofsky",N/A,"Damien Wayne Echols, Melissa Byers, Norris Deajon","The case of the West Memphis Three, its questionable circumstances and the parties involved are followed up years later.",English,United States,Nominated for 1 Primetime Emmy. 2 wins & 1 nomination total,https://m.media-amazon.com/images/M/MV5BMTUwMTQ1MzczN15BMl5BanBnXkFtZTYwMTQxNjA5._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '92%'}]",N/A,7.5,"9,790",tt0239894,movie,N/A,N/A,N/A,N/A,True,,
Proof,2005,PG-13,07 Oct 2005,100 min,"Drama, Mystery",John Madden,"David Auburn, Rebecca Miller","Gwyneth Paltrow, Anthony Hopkins, Hope Davis","The daughter of a brilliant but mentally disturbed mathematician, recently deceased, tries to come to grips with her possible inheritance: his insanity. Complicating matters are one of her father's ex-students, who wants to search...",English,United States,4 wins & 6 nominations,https://m.media-amazon.com/images/M/MV5BMTMxMjM0MTY4Nl5BMl5BanBnXkFtZTcwMDU4MjEzMQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '62%'}, {'Source': 'Metacritic', 'Value': '64/100'}]",64,6.7,"46,520",tt0377107,movie,N/A,"$7,535,331",N/A,N/A,True,,
Book of Love,2022,N/A,04 Feb 2022,106 min,"Comedy, Romance",Analeine Cal y Mayor,"Analeine Cal y Mayor, Geoff Deane, David Quantick","Sam Claflin, Remmie Milner, Antonia Clarke",A British writer realizes that his novel is a success in Mexico because a peculiar translation of it.,English,"United Kingdom, United States, Mexico",1 win & 1 nomination,https://m.media-amazon.com/images/M/MV5BMjlkMjgyYjUtOTBiYy00MDRjLTljMDgtNDljYzIyZWQ4MTE2XkEyXkFqcGdeQXVyMjkwOTAyMDU@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '51%'}, {'Source': 'Metacritic', 'Value': '44/100'}]",44,5.5,"3,966",tt14014068,movie,N/A,N/A,N/A,N/A,True,,
The Fog,1980,R,08 Feb 1980,89 min,"Horror, Thriller",John Carpenter,"John Carpenter, Debra Hill","Adrienne Barbeau, Jamie Lee Curtis, Janet Leigh",An unearthly fog rolls into a small coastal town exactly 100 years after a ship mysteriously sank in its waters.,English,United States,1 win & 3 nominations,https://m.media-amazon.com/images/M/MV5BYmU4MmNmZWYtMmIxMC00MGE3LTljODctNWQ1ZTQ4NDBlNzQ1XkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '75%'}, {'Source': 'Metacritic', 'Value': '55/100'}]",55,6.8,"84,069",tt0080749,movie,N/A,"$21,448,782",N/A,N/A,True,,
American Gun,2005,R,26 Dec 2007,95 min,Drama,Aric Avelino,"Steven Bagatourian, Aric Avelino","Marcia Gay Harden, Forest Whitaker, Donald Sutherland","Seemingly disparate portraits of people -- among them a single mother, a high school principal, and an ace student -- Distinctly American -- all affected by the proliferation of guns in American society.",English,United States,3 nominations,https://m.media-amazon.com/images/M/MV5BMTc0Mjk5MDE3NF5BMl5BanBnXkFtZTYwMzI5MzY2._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '39%'}, {'Source': 'Metacritic', 'Value': '48/100'}]",48,6.1,"3,214",tt0416471,movie,N/A,"$24,098",N/A,N/A,True,,
Fortress,1992,R,03 Sep 1993,95 min,"Action, Crime, Sci-Fi",Stuart Gordon,"Troy Neighbors, Steven Feinberg, David Venable","Christopher Lambert, Loryn Locklin, Kurtwood Smith","In a future, private underground prison/Fortress, the inmates are computer controlled with CCTV, dream readers and devices that can cause pain or death. John and his illegally pregnant wife are inside but want to escape before birth.",English,Australia,2 nominations,https://m.media-amazon.com/images/M/MV5BNmYwZWQyODctOWE0Mi00MTIzLTkxZDUtNWJlYzZkYzc2ZWM2XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '38%'}, {'Source': 'Metacritic', 'Value': '48/100'}]",48,5.9,"30,707",tt0106950,movie,N/A,"$6,739,141",N/A,N/A,True,,
The Hitcher,1986,R,21 Feb 1986,97 min,"Action, Mystery, Thriller",Robert Harmon,Eric Red,"Rutger Hauer, C. Thomas Howell, Jennifer Jason Leigh",A young man who escapes the clutches of a murderous hitchhiker is subsequently stalked by the hitcher and framed for his crimes.,"English, French",United States,3 wins & 1 nomination,https://m.media-amazon.com/images/M/MV5BZjg4YzRiYTctMDdmOS00MzNlLTgwMGUtZjZhYTVhZmUxOGU2XkEyXkFqcGdeQXVyMTUzMDUzNTI3._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '64%'}, {'Source': 'Metacritic', 'Value': '32/100'}]",32,7.2,"53,322",tt0091209,movie,N/A,"$5,844,868",N/A,N/A,True,,
Pathfinder,2007,R,13 Apr 2007,99 min,"Action, Adventure, Drama",Marcus Nispel,"Laeta Kalogridis, Nils Gaup","Karl Urban, Clancy Brown, Moon Bloodgood","A Viking boy is left behind after his clan battles a Native American tribe. Raised within the tribe, he ultimately becomes their savior in a fight against the Norsemen.","English, Icelandic","United States, Canada",1 nomination,https://m.media-amazon.com/images/M/MV5BMTk5MDY0NTA1OV5BMl5BanBnXkFtZTcwNjE0MDM0MQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '9%'}, {'Source': 'Metacritic', 'Value': '29/100'}]",29,5.4,"46,546",tt0446013,movie,N/A,"$10,232,081",N/A,N/A,True,,
Beowulf,2007,PG-13,16 Nov 2007,115 min,"Animation, Action, Adventure",Robert Zemeckis,"Neil Gaiman, Roger Avary, Anonymous","Ray Winstone, Crispin Glover, Angelina Jolie","The warrior Beowulf must fight and defeat the monster Grendel, who is terrorizing Denmark, then Grendel's Mother, who begins killing out of revenge.","English, Old English","United States, United Kingdom",3 wins & 19 nominations,https://m.media-amazon.com/images/M/MV5BMTUzMjM0MTc3MF5BMl5BanBnXkFtZTcwNzU0ODMyMw@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '71%'}, {'Source': 'Metacritic', 'Value': '59/100'}]",59,6.3,"175,189",tt0442933,movie,N/A,"$82,280,579",N/A,N/A,True,,
Out of the Blue,1980,R,01 Apr 1982,94 min,Drama,Dennis Hopper,"Leonard Yakir, Brenda Nielson, Dennis Hopper","Linda Manz, Dennis Hopper, Sharon Farrell",A young girl whose father is an ex-convict and whose mother is a junkie finds it difficult to conform and tries to find comfort in a quirky combination of Elvis and the punk scene.,English,United States,1 nomination,https://m.media-amazon.com/images/M/MV5BM2Q3MDJmZDktZTBhZi00N2QxLWJkMjQtM2QxNmQ5MTAzOTBjXkEyXkFqcGdeQXVyMTA0MjU0Ng@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '95%'}, {'Source': 'Metacritic', 'Value': '78/100'}]",78,7.2,"4,090",tt0081291,movie,N/A,N/A,N/A,N/A,True,,
The Girl Next Door,2004,R,09 Apr 2004,109 min,"Comedy, Drama, Romance",Luke Greenfield,"David Wagner, Brent Goldberg, Stuart Blumberg","Emile Hirsch, Nicholas Downs, Elisha Cuthbert",A teenager's dreams come true when a former porn star moves in next door and they fall in love.,English,United States,2 wins & 4 nominations,https://m.media-amazon.com/images/M/MV5BMTQ0ODIyMzE1N15BMl5BanBnXkFtZTcwODEwODczMw@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '56%'}, {'Source': 'Metacritic', 'Value': '47/100'}]",47,6.7,"243,062",tt0265208,movie,N/A,"$14,589,444",N/A,N/A,True,,
Impulse,2018–2019,TV-MA,06 Jun 2018,50 min,"Action, Drama, Mystery",N/A,Jeffrey Lieber,"Maddie Hasson, Sarah Desjardins, Enuka Okuma",A young woman discovers she has the extraordinary power of teleportation.,English,United States,1 win & 4 nominations,https://m.media-amazon.com/images/M/MV5BYWZiYTkzOGMtNDg1Mi00YzFhLTgwNDMtNjE3M2FlNzVmYzIxXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}]",N/A,7.4,"10,631",tt6160506,series,,,,,True,2,
Defiance,2008,R,16 Jan 2009,137 min,"Action, Drama, History",Edward Zwick,"Clayton Frohman, Edward Zwick, Nechama Tec","Daniel Craig, Liev Schreiber, Jamie Bell","Jewish brothers in German-occupied Eastern Europe escape into a Belorussian forest, where they join Russian resistance fighters, and endeavor to build a village, in order to protect themselves and about one thousand Jewish non-com...","English, German, Russian",United States,Nominated for 1 Oscar. 2 wins & 5 nominations total,https://m.media-amazon.com/images/M/MV5BZjEyYjk4ZDQtZDhjMi00NGFkLWExM2UtZjgyMDMxODgwNjgyXkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '59%'}, {'Source': 'Metacritic', 'Value': '58/100'}]",58,7.1,"156,565",tt1034303,movie,N/A,"$28,644,813",N/A,N/A,True,,
Hamlet,1996,PG-13,25 Dec 1996,242 min,Drama,Kenneth Branagh,"William Shakespeare, Kenneth Branagh","Kenneth Branagh, Julie Christie, Derek Jacobi","Hamlet, Prince of Denmark, returns home to find his father murdered and his mother remarrying the murderer, his uncle. Meanwhile, war is brewing.",English,"United Kingdom, United States",Nominated for 4 Oscars. 9 wins & 25 nominations total,https://m.media-amazon.com/images/M/MV5BNGQ0OGUyMTctNzk4ZS00YmY5LTlmNWYtMWIyZWYwZjRmOWIzXkEyXkFqcGdeQXVyMTU3NDU4MDg2._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '95%'}]",N/A,7.7,"40,407",tt0116477,movie,N/A,"$4,708,156",N/A,N/A,True,,
The Escapist,2008,Not Rated,20 Jun 2008,102 min,"Crime, Drama, Thriller",Rupert Wyatt,"Daniel Hardy, Rupert Wyatt","Brian Cox, Damian Lewis, Joseph Fiennes",Frank is 14 years into a life sentence when he decides to break out of the London prison to set things right with his ill junkie daughter. He plans an ingenious escape requiring 4 inmates with different skills.,English,"United Kingdom, Ireland",2 wins & 6 nominations,https://m.media-amazon.com/images/M/MV5BYjE2YTIxZTQtNGEzZi00NjExLWFjYjUtZTA5YTg2MzM2Zjk4XkEyXkFqcGdeQXVyNjc5NjEzNA@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '67%'}, {'Source': 'Metacritic', 'Value': '56/100'}]",56,6.7,"17,488",tt0961728,movie,N/A,"$13,439",N/A,N/A,True,,
Thick as Thieves,1999,R,09 Apr 1999,93 min,"Crime, Drama, Thriller",Scott Sanders,"Patrick Quinn, Scott Sanders, Arthur Krystal","Mark Adair-Rios, Khandi Alexander, Erich Anderson","A thief is betrayed after a well done job in Detroit. Returning to Chicago, he decides on revenge. Things escalate.","English, French",United States,N/A,https://m.media-amazon.com/images/M/MV5BMTc4MTAwMTI2N15BMl5BanBnXkFtZTcwNzMwOTYyMQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.9/10'}]",N/A,5.9,"2,824",tt0147599,movie,N/A,N/A,N/A,N/A,True,,
Earth,2007,G,22 Apr 2009,90 min,Documentary,"Alastair Fothergill, Mark Linfield","Alastair Fothergill, Mark Linfield, Leslie Megahey","James Earl Jones, Patrick Stewart, Anggun","Feature-length version of the documentary TV series Planet Earth (2006), following the migration paths of four animal families.",English,"United Kingdom, Germany, United States, France",Nominated for 1 BAFTA Award5 wins & 1 nomination total,https://m.media-amazon.com/images/M/MV5BYWUyNjI0M2ItZGJlNC00YmE2LTk3MTAtMWJhNGU3NzUyNGQ3XkEyXkFqcGdeQXVyMjc1NTg2NTI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '87%'}, {'Source': 'Metacritic', 'Value': '72/100'}]",72,7.9,"14,771",tt0393597,movie,N/A,"$32,011,576",N/A,N/A,True,,
Fade to Black,1980,R,14 Oct 1980,102 min,"Comedy, Crime, Horror",Vernon Zimmerman,Vernon Zimmerman,"Dennis Christopher, Tim Thomerson, Gwynne Gilford","A shy, lonely film buff embarks on a killing spree against those who browbeat and betray him, all the while stalking his idol, a Marilyn Monroe lookalike.",English,United States,2 wins & 8 nominations,https://m.media-amazon.com/images/M/MV5BMzM3ZGFhNjktNGRlNy00ZmEyLWE0NWMtYjBkZmIzM2RjM2E5XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '42%'}, {'Source': 'Metacritic', 'Value': '54/100'}]",54,6.1,"5,188",tt0080711,movie,N/A,N/A,N/A,N/A,True,,
Summer School,1987,PG-13,22 Jul 1987,97 min,"Comedy, Romance",Carl Reiner,"Stuart Birnbaum, David Dashev, Jeff Franklin","Mark Harmon, Kirstie Alley, Robin Thomas","Freddy the gym teacher has to teach remedial English in summer (high) school, if he wants tenure. As he can only teach gym and his students want fun, emphasis is on ""field trips"" - until he's fired unless all his students pass the...",English,United States,1 nomination,https://m.media-amazon.com/images/M/MV5BYTllNDllODAtOTVkOC00NGYzLWFkMTItZGY2YThlMWM3YWM2L2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '57%'}, {'Source': 'Metacritic', 'Value': '27/100'}]",27,6.6,"22,567",tt0094072,movie,N/A,"$35,659,098",N/A,N/A,True,,
